Date,VX60d,VX90d,VF75,VVIX,VIX
2017-12-04,13.7107,14.4607,14.0857,97.56999969482422,11.680000305175781
2017-12-05,13.6607,14.3821,14.0214,97.94999694824219,11.329999923706055
2017-12-06,13.6214,14.3536,13.9875,98.16999816894531,11.020000457763672
2017-12-07,13.2857,14.055,13.6704,95.83000183105469,10.15999984741211
2017-12-08,13.0393,13.9221,13.4807,91.88999938964844,9.579999923706055
2017-12-11,12.8375,13.775,13.3063,92.05999755859375,9.34000015258789
2017-12-12,12.875,13.805,13.34,93.2699966430664,9.920000076293945
2017-12-13,12.8232,13.6964,13.2598,95.55999755859375,10.180000305175781
2017-12-14,12.8036,13.715,13.2593,96.06999969482422,10.489999771118164
2017-12-15,12.4393,13.3864,12.9129,92.19999694824219,9.420000076293945
2017-12-18,12.3114,13.2329,12.7721,90.63999938964844,9.529999732971191
2017-12-19,12.315,13.215,12.765,93.58000183105469,10.029999732971191
2017-12-20,12.4336,13.2479,12.8407,92.86000061035156,9.720000267028809
2017-12-21,12.3536,13.125,12.7393,92.20999908447266,9.619999885559082
2017-12-22,12.4707,13.1982,12.8345,94.9000015258789,9.899999618530273
2017-12-26,12.5464,13.2205,12.8835,97.55999755859375,10.25
2017-12-27,12.5607,13.2143,12.8875,97.08000183105469,10.470000267028809
2017-12-28,12.5493,13.2375,12.8934,97.25,10.180000305175781
2017-12-29,12.7536,13.4107,13.0821,100.76000213623047,11.039999961853027
2018-01-02,12.3879,13.125,12.7564,97.36000061035156,9.770000457763672
2018-01-03,12.2364,12.95,12.5932,94.4000015258789,9.149999618530273
2018-01-04,12.2864,13.025,12.6557,94.20999908447266,9.220000267028809
2018-01-05,12.2107,12.95,12.5804,93.0999984741211,9.220000267028809
2018-01-08,12.2007,12.9571,12.5789,93.97000122070312,9.520000457763672
2018-01-09,12.2893,13.0,12.6446,94.73999786376953,10.079999923706055
2018-01-10,12.1464,12.875,12.5107,93.69999694824219,9.819999694824219
2018-01-11,12.1321,12.8125,12.4723,92.23999786376953,9.880000114440918
2018-01-12,12.215,12.8464,12.5307,92.22000122070312,10.15999984741211
